trial,phase,candidate_id,edge_type,driver,strength,active,effective_weight,effective_exchange_weight,drivers,requires,affinity,competition_groups,requires_glial_network,mediating_glia,generated_from
5,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.4075167750570399,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
5,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.09394727540790113,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.10438586156433459,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.5219293078216729,0.0,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.14614020619006843,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.032962558490911675,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
5,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.1021839313218262,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
5,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.04944383773636751,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
5,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.10438586156433459,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.10020995323984312,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.2863141521138375,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.0718882213238188,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.12580438731668286,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.35944110661909395,0.0,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
5,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.5761448401531346,0.6167464873277385,True,0.49339718986219083,0.7400957847932862,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
6,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.07920269891402035,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
6,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.12446138400774627,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
6,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.29576447712520765,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
6,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.21126034080371975,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
6,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.4647727497681835,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
6,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.10802715752871274,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.12003017503190305,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.6001508751595153,0.1837371236255577,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.16804224504466428,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
6,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.03771557091143826,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
6,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.11691826982545861,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
6,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.05657335636715739,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
6,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.12003017503190305,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
