agent,trial,stage,candidate_id,edge_type,strength,active,driver,seed
full_biological,27,Ext1,AUTO_GG_G1_G3,glia_glia,0.9998054837714621,True,0.0032094207711873056,20260817
full_biological,27,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,27,Ext1,AUTO_TRI_N0_G1_N4,tripartite,0.9998332718041103,True,0.0032094207711873056,20260817
full_biological,27,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.7252739835859626,20260817
full_biological,27,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.7252739835859626,20260817
full_biological,28,Ext1,AUTO_GG_G0_G1,glia_glia,0.9995830986681696,True,0.0025675366169498445,20260817
full_biological,28,Ext1,AUTO_GG_G1_G3,glia_glia,0.9996352113346485,True,0.0025675366169498445,20260817
full_biological,28,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,28,Ext1,AUTO_TRI_N0_G1_N4,tripartite,0.9996873240011273,True,0.0025675366169498445,20260817
full_biological,28,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.787045337551187,20260817
full_biological,28,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.787045337551187,20260817
full_biological,29,Ext2,AUTO_GG_G0_G1,glia_glia,0.9993474210116544,True,0.002054029293559876,20260817
full_biological,29,Ext2,AUTO_GG_G1_G3,glia_glia,0.9994289933851976,True,0.002054029293559876,20260817
full_biological,29,Ext2,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,29,Ext2,AUTO_TRI_N0_G1_N4,tripartite,0.9995105657587409,True,0.002054029293559876,20260817
full_biological,29,Ext2,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.8499988147901262,20260817
full_biological,29,Ext2,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.8499988147901262,20260817
full_biological,30,Ext2,AUTO_GG_G0_G1,glia_glia,0.9990788788864422,True,0.0016432234348479008,20260817
full_biological,30,Ext2,AUTO_GG_G1_G3,glia_glia,0.999194019025637,True,0.0016432234348479008,20260817
full_biological,30,Ext2,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,30,Ext2,AUTO_TRI_N0_G1_N4,tripartite,0.9993091591648318,True,0.0016432234348479008,20260817
full_biological,30,Ext2,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.9142020280017559,20260817
